phi_ext,energy_state_1,energy_state_2,energy_state_3,energy_state_4
0.0,-7.518445552545529,-6.314188618804696,-5.005438003364632,-3.551477518421627
0.4487989505128276,-7.462377742192359,-6.258305088721769,-4.949894831231065,-3.4966581795926257
0.8975979010256552,-7.293155531500759,-6.089695108294435,-4.7824385633694035,-3.331773388711354
1.3463968515384828,-7.009573570551851,-5.807290459816321,-4.502385172971669,-3.0578913461122426
1.7951958020513104,-6.612563798094612,-5.4122305164824445,-4.111787561316201,-2.6878846190316596
2.243994752564138,-6.103944582723841,-4.906863574291171,-3.6168673662825865,-2.966704677013529
2.6927937030769655,-5.483841587133384,-4.293906181800022,-3.9072470454570367,-3.06468484906489
3.141592653589793,-4.754440546847904,-4.748913654718423,-3.6014439277345205,-3.546343113563145
3.5903916041026207,-5.483841587133327,-4.293906181799983,-3.9072470454570403,-3.0646848490649106
4.039190554615448,-6.103944582723813,-4.906863574291174,-3.6168673662825794,-2.9667046770135514
4.487989505128276,-6.612563798094641,-5.412230516482452,-4.11178756131622,-2.6878846190316863
4.9367884556411035,-7.009573570551851,-5.807290459816298,-4.502385172971682,-3.0578913461119877
5.385587406153931,-7.293155531500787,-6.089695108294429,-4.782438563369383,-3.3317733887113703
5.834386356666759,-7.462377742192359,-6.258305088721734,-4.949894831231067,-3.4966581795926546
6.283185307179586,-7.518445552545472,-6.314188618804679,-5.005438003364656,-3.55147751842172
