phi_ext,energy_state_1,energy_state_2,energy_state_3,energy_state_4
0.0,-7.518445550578576,-6.314188610095494,-5.005437977495911,-3.551477518424959
0.4487989505128276,-7.462377740198832,-6.258305088722988,-4.949894804385138,-3.496658179595768
0.8975979010256552,-7.293155529306233,-6.089695108296585,-4.782438530452784,-3.3317733887101877
1.3463968515384828,-7.00957356787228,-5.807290459819643,-4.502385129163418,-3.057891346112342
1.7951958020513104,-6.612563794634838,-5.412230516488199,-4.111787503712401,-2.687884619025736
2.243994752564138,-6.1039445785885675,-4.906863574295381,-3.616867366287106,-2.9667046770276095
2.6927937030769655,-5.483841582649802,-4.293906181800626,-3.90724704546313,-3.06468484907098
3.141592653589793,-4.754430877033444,-4.748923255561095,-3.601443927671345,-3.546343113757601
3.5903916041026207,-5.48384158264981,-4.293906181798676,-3.907247045464481,-3.0646848490682523
4.039190554615448,-6.103944578588681,-4.906863574295366,-3.616867366286649,-2.966704677027873
4.487989505128276,-6.6125637946348945,-5.412230500757319,-4.111787561332086,-2.6878846190356467
4.9367884556411035,-7.009573567872252,-5.807290447510421,-4.502385172979721,-3.057891346117775
5.385587406153931,-7.293155529306176,-6.089695099081046,-4.782438530453197,-3.3317733887111203
5.834386356666759,-7.462377740198804,-6.2583050802653455,-4.949894804384459,-3.496658179592534
6.283185307179586,-7.518445550578491,-6.3141886100961235,-5.0054379774952675,-3.5514775184189666
