phi_ext,sigma_state_1,sigma_state_2,sigma_state_3,sigma_state_4
0.0,2.4016344468691386e-12,3.40349970429088e-12,2.7746693831431912e-12,1.2754242106893798e-12
0.7853981633974483,4.853006885241484e-12,1.8545165403338615e-12,1.5916157281026244e-12,1.071143174158351e-12
1.5707963267948966,1.7905676941154525e-12,2.2382096176443156e-12,1.4921397450962104e-12,6.110667527536862e-13
2.356194490192345,3.431921413721284e-12,1.5702994460298214e-12,6.536993168992922e-13,7.833733661755105e-13
3.141592653589793,1.5862008091005464e-5,6.829148802012242e-8,8.65085780787922e-13,8.08242361927114e-13
3.9269908169872414,3.40349970429088e-12,1.566746732351021e-12,6.927791673660977e-13,6.945555242054979e-13
4.71238898038469,1.3997691894473974e-12,2.3874235921539366e-12,1.2612133559741778e-12,3.7481129311345285e-13
5.497787143782138,5.229594535194337e-12,1.6200374375330284e-12,1.4530598946294049e-12,8.046896482483135e-13
6.283185307179586,2.9629632081196178e-12,3.780087354243733e-12,2.7853275241795927e-12,1.3660184094987926e-12
