phi_ext,sigma_state_1,sigma_state_2,sigma_state_3,sigma_state_4
0.0,1.3280043731356272e-11,1.0956568985420745e-11,3.502975687297294e-12,1.0865974786611332e-11
0.7853981633974483,6.0254023992456496e-12,1.0892620139202336e-11,5.03774799653911e-12,9.878320383904793e-12
1.5707963267948966,1.0444978215673473e-11,1.0167866548727034e-11,8.391509709326783e-12,7.812417379682302e-12
2.356194490192345,8.924416761146858e-12,1.6214585230045486e-11,1.0615508472255897e-11,1.3450573987938697e-11
3.141592653589793,4.400977932306205e-6,5.0102222814985e-8,2.0696333535852318e-11,7.419842518174846e-11
3.9269908169872414,8.874678769643651e-12,1.63034030720155e-11,1.0627942970131699e-11,1.3464784842653899e-11
4.71238898038469,9.71311919784057e-12,1.013944483929663e-11,8.551381824872806e-12,7.936762358440319e-12
5.497787143782138,6.103562100179261e-12,1.0544454198679887e-11,4.956035581926699e-12,9.9245056617292e-12
6.283185307179586,1.3500311979441904e-11,1.0814460438268725e-11,3.744560217455728e-12,1.06421538248469e-11
